old_filename|new_filename
B2 L39 The rules of happiness GMR.mp3|ee-ind-b2-l39-audio-1.mp3
B2 L41 Saving for the future.mp3|ee-ind-b2-l41-audio-1.mp3
B2 L43 Report on completion of a project.mp3|ee-ind-b2-l43-audio-1.mp3
B2 L45 Talking about a movie.mp3|ee-ind-b2-l45-audio-1.mp3
C1 L01 Complaining.mp3|ee-pro-c1-l1-audio-1.mp3
C1 L02 Breaking up.mp3|ee-pro-c1-l2-audio-1.mp3
C1 L03 New technologies.mp3|ee-pro-c1-l3-audio-1.mp3
C1 L04 Complaining about a service.mp3|ee-pro-c1-l4-audio-1.mp3
C1 L05 Developing business relationships.mp3|ee-pro-c1-l5-audio-1.mp3
C1 L06 Global Positioning Systems.mp3|ee-pro-c1-l6-audio-1.mp3
C1 L07 Evaluating colleagues.mp3|ee-pro-c1-l7-audio-1.mp3
C1 L08 Health problems-1.mp3|ee-pro-c1-l8-audio-1.mp3
C1 L08 Health problems-2.mp3|ee-pro-c1-l8-audio-2.mp3
C1 L08 Health problems-3.mp3|ee-pro-c1-l8-audio-3.mp3
C1 L09 Friendship.mp3|ee-pro-c1-l9-audio-1.mp3
C1 L10 Living with the neighbors-1.mp3|ee-pro-c1-l10-audio-1.mp3
C1 L10 Living with the neighbors-2.mp3|ee-pro-c1-l10-audio-2.mp3
C1 L10 Living with the neighbors-3.mp3|ee-pro-c1-l10-audio-3.mp3
C1 L11 Healthy changes.mp3|ee-pro-c1-l11-audio-1.mp3
C1 L12 Influencing and persuading others.mp3|ee-pro-c1-l12-audio-1.mp3
C1 L13 Memorable flights.mp3|ee-pro-c1-l13-audio-1.mp3
C1 L14 Managing diversity in the workplace.mp3|ee-pro-c1-l14-audio-1.mp3
C1 L15 People and their free time.mp3|ee-pro-c1-l15-audio-1.mp3
C1 L16 The extended family.mp3|ee-pro-c1-l16-audio-1.mp3
C1 L17 Sleep.mp3|ee-pro-c1-l17-audio-1.mp3
C1 L18 Strong feelings.mp3|ee-pro-c1-l18-audio-1.mp3
C1 L19 When it all goes wrong.mp3|ee-pro-c1-l19-audio-1.mp3
C1 L20 Successful relationships.mp3|ee-pro-c1-l20-audio-1.mp3
C1 L21 What can go wrong 1.mp3|ee-pro-c1-l21-audio-1.mp3
C1 L21 What can go wrong 2.mp3|ee-pro-c1-l21-audio-2.mp3
C1 L22 Work-life balance.mp3|ee-pro-c1-l22-audio-1.mp3
C1 L23 Wild animals for sale.mp3|ee-pro-c1-l23-audio-1.mp3
C1 L24 An unlucky day.mp3|ee-pro-c1-l24-audio-1.mp3
C1 L25 Celebrity and the press.mp3|ee-pro-c1-l25-audio-1.mp3
C1 L26 Complaints about work environment.mp3|ee-pro-c1-l26-audio-1.mp3
C1 L27 Essential gadgets.mp3|ee-pro-c1-l27-audio-1.mp3
C1 L28 Don't dismiss the research.mp3|ee-pro-c1-l28-audio-1.mp3
C1 L29 Gene technology.mp3|ee-pro-c1-l29-audio-1.mp3
C1 L31 Jobs and careers.mp3|ee-pro-c1-l31-audio-1.mp3
C1 L32 Inventions and innovations.mp3|ee-pro-c1-l32-audio-1.mp3
C1 L33 Losing your job.mp3|ee-pro-c1-l33-audio-1.mp3
C1 L34 The haircut from hell.mp3|ee-pro-c1-l34-audio-1.mp3
C1 L35 Motivating people.mp3|ee-pro-c1-l35-audio-1.mp3
C1 L36 The secret of success.mp3|ee-pro-c1-l36-audio-1.mp3
C1 L37 Politics and elections.mp3|ee-pro-c1-l37-audio-1.mp3
C1 L38 Challenges of globalization.mp3|ee-pro-c1-l38-audio-1.mp3
C1 L39 What might have been.mp3|ee-pro-c1-l39-audio-1.mp3
C1 L40 Pollution and environmental problems.mp3|ee-pro-c1-l40-audio-1.mp3
C1 L41 Words of advice.mp3|ee-pro-c1-l41-audio-1.mp3
C1 L42 Success in business.mp3|ee-pro-c1-l42-audio-1.mp3
C1 L43 Floating a company.mp3|ee-pro-c1-l43-audio-1.mp3
C1 L44 Being a responsible manager.mp3|ee-pro-c1-l44-audio-1.mp3
C1 L45 I could have been rich.mp3|ee-pro-c1-l45-audio-1.mp3
C1 L46 Job interviews-1.mp3|ee-pro-c1-l46-audio-1.mp3
C1 L46 Job interviews-2.mp3|ee-pro-c1-l46-audio-2.mp3
C1 L46 Job interviews-3.mp3|ee-pro-c1-l46-audio-3.mp3
C1 L46 Job interviews-4.mp3|ee-pro-c1-l46-audio-4.mp3
C1 L46 Job interviews-5.mp3|ee-pro-c1-l46-audio-5.mp3
C1 L47 Making the sale.mp3|ee-pro-c1-l47-audio-1.mp3
C1 L48 Negotiating.mp3|ee-pro-c1-l48-audio-1.mp3
